idx,t_x,t_y,t_z,m_x,m_y,m_z,e_x,e_y,e_z,e_norm,t_q0,t_q1,t_q2,t_q3,t_q4,m_q0,m_q1,m_q2,m_q3,m_q4,e_q0,e_q1,e_q2,e_q3,e_q4
0,0.2294372139409554,0.023296614717153132,0.07542017635605898,0.22936251931930163,0.021343034579574663,0.0745403192875433,-7.469462165377028e-05,-0.0019535801375784694,-0.000879857068515677,0.0021438757196866874,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,-45.0,-4.791208791208791,-104.61538461538461,95.78021978021978,31.516483516483518,-43.20879120879121,0.5274725274725274,0.1758241758241752,0.0,0.08791208791209115,1.7912087912087884
1,0.22924294635095963,0.022512544192315014,0.07477507173616021,0.22901036298109204,0.02293593233119291,0.07417171232868791,-0.00023258336986758943,0.00042338813887789553,-0.0006033594074723037,0.0007729133940272878,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,-37.5,-5.406593406593407,-104.61538461538461,95.78021978021978,31.516483516483518,-38.9010989010989,-0.08791208791208849,0.1758241758241752,0.0,0.08791208791209115,-1.401098901098898
2,0.22909658482428982,0.02164800691707634,0.0742275134668489,0.22885714174912508,0.022108898626089016,0.07362023033179602,-0.0002394430751647414,0.0004608917090126764,-0.0006072831350528857,0.0007990913338290154,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,-30.0,-5.406593406593407,-104.61538461538461,95.78021978021978,31.516483516483518,-31.604395604395606,-0.08791208791208849,0.1758241758241752,0.0,0.08791208791209115,-1.6043956043956058
3,0.2290006336472464,0.020717795363911457,0.0737868704219248,0.2287517544292226,0.021216720426693474,0.07316800753103703,-0.00024887921802380086,0.0004989250627820165,-0.000618862890887778,0.0008329816091332122,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,-22.5,-5.406593406593407,-104.61538461538461,95.78021978021978,31.516483516483518,-24.307692307692307,-0.08791208791208849,0.1758241758241752,0.0,0.08791208791209115,-1.8076923076923066
4,0.22895673457107124,0.019737825710398386,0.07346068212605589,0.22869518267065192,0.02025062834228774,0.07281540501190423,-0.0002615519004193212,0.000512802631889353,-0.00064527711415166,0.0008647302989565592,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,-15.0,-5.406593406593407,-104.61538461538461,95.78021978021978,31.516483516483518,-16.835164835164836,-0.08791208791208849,0.1758241758241752,0.0,0.08791208791209115,-1.8351648351648358
5,0.22896563872112888,0.01872486550900765,0.07325452975142097,0.22874993379232872,0.018653128556332225,0.07257852072286805,-0.0002157049288001589,-7.173695267542399e-05,-0.0006760090285529152,0.000713206150683583,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,-7.5,-5.230769230769231,-104.61538461538461,95.78021978021978,31.516483516483518,-9.274725274725276,0.0879120879120876,0.1758241758241752,0.0,0.08791208791209115,-1.7747252747252755
6,0.22902719374494307,0.017696246789630672,0.07317194062230628,0.22882525883783128,0.017314630070295566,0.07246574097462775,-0.0002019349071117893,-0.00038161671933510666,-0.0007061996476785265,0.0008277239694291881,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,0.0,-5.142857142857143,-104.61538461538461,95.78021978021978,31.516483516483518,-1.6263736263736264,0.1758241758241752,0.1758241758241752,0.0,0.08791208791209115,-1.6263736263736264
7,0.22914034641899014,0.016669569503742977,0.07321432786160902,0.22899259792920795,0.01545036415710303,0.07247806267212711,-0.00014774848978219013,-0.001219205346639947,-0.0007362651894819022,0.0014319140067584968,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,7.5,-4.8791208791208796,-104.61538461538461,95.78021978021978,31.516483516483518,5.582417582417582,0.4395604395604389,0.1758241758241752,0.0,0.08791208791209115,-1.9175824175824179
8,0.22930316066964523,0.015662400384354826,0.07338096621191273,0.22893089240792094,0.014385994601475771,0.07217774098760286,-0.00037226826172429006,-0.0012764057828790545,-0.0012032252243098646,0.0017931944461406968,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,15.0,-4.8791208791208796,-104.61538461538461,95.78021978021978,31.692307692307693,13.31868131868132,0.4395604395604389,0.1758241758241752,0.0,0.26373626373626635,-1.6813186813186807
9,0.22951285069993904,0.014691972374338988,0.07366900444484285,0.2291469104479389,0.013104807451454514,0.07244066732411153,-0.000365940252000152,-0.001587164922884474,-0.0012283371207313237,0.002040053147012433,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,22.5,-4.791208791208791,-104.61538461538461,95.78021978021978,31.692307692307693,20.87912087912088,0.5274725274725274,0.1758241758241752,0.0,0.26373626373626635,-1.6208791208791204
10,0.22976582865531614,0.013774889766000303,0.07407351414637466,0.2292640830398322,0.013929849582708188,0.07281772243426154,-0.0005017456154839395,0.000154959816707885,-0.0012557917121131107,0.0013611664232060223,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,30.0,-5.318681318681318,-104.61538461538461,95.78021978021978,31.692307692307693,28.35164835164835,0.0,0.1758241758241752,0.0,0.26373626373626635,-1.6483516483516496
11,0.23005776601282135,0.012926844097030783,0.07458757404336366,0.22958258141897453,0.012502827598761937,0.07329217602428398,-0.00047518459384682243,-0.0004240164982688456,-0.0012953980190796854,0.0014434841242178995,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,37.5,-5.142857142857143,-104.61538461538461,95.78021978021978,31.692307692307693,35.64835164835165,0.1758241758241752,0.1758241758241752,0.0,0.26373626373626635,-1.8516483516483504
12,0.23038366764332738,0.012162345663949177,0.07520238842844806,0.22984947490837077,0.01258926277790441,0.07388628207509199,-0.0005341927349566122,0.000426917113955233,-0.001316106353356078,0.0014831574540865593,-5.318681318681318,-104.79120879120879,95.78021978021978,31.428571428571427,45.0,-5.406593406593407,-104.61538461538461,95.78021978021978,31.692307692307693,43.20879120879121,-0.08791208791208849,0.1758241758241752,0.0,0.26373626373626635,-1.7912087912087884
